gds_sclsf_nm,month,grade,vwap_grade,vwap_all,ratio,n
미안마,4,4등,4372.090377113134,2712.901327863543,1.611592110707628,258
미안마,4,5등,4079.0264565992866,2712.901327863543,1.5035660953476664,280
미안마,4,6등,3780.590733297945,2712.901327863543,1.3935599848282083,565
미안마,4,7등,2899.5546076778096,2712.901327863543,1.068802089444683,570
미안마,4,8등,2401.3188268684958,2712.901327863543,0.8851478681532351,531
미안마,4,등외,2398.052557484749,2712.901327863543,0.8839438916760224,701
미안마,4,무등급,2423.964464186563,2712.901327863543,0.8934952551685605,646
미안마,4,보통,1535.0796528562087,2712.901327863543,0.5658442631472743,1200
미안마,4,상,2547.426765290495,2712.901327863543,0.9390045775445279,1892
미안마,4,특,3517.5877225657455,2712.901327863543,1.2966146930732299,1653
미안마,5,4등,4050.831217426166,2503.517200743326,1.6180560757575073,402
미안마,5,5등,3566.0371466140696,2503.517200743326,1.4244108830389772,223
미안마,5,6등,3203.060023538643,2503.517200743326,1.2794240129796646,630
미안마,5,7등,2475.3272910372607,2503.517200743326,0.9887398777616964,602
미안마,5,8등,2057.468301808356,2503.517200743326,0.8218311027371681,522
미안마,5,등외,2611.9848197343454,2503.517200743326,1.043326092969848,496
미안마,5,무등급,2189.7773236483768,2503.517200743326,0.8746803588959581,796
미안마,5,보통,1122.1328235627302,2503.517200743326,0.44822253397322565,1159
미안마,5,상,2235.4771142770537,2503.517200743326,0.8929345936242468,1883
미안마,5,특,3840.3857496969367,2503.517200743326,1.5339961509178677,1630
미안마,6,4등,3442.9788172992057,2297.309008280714,1.4987007863935122,293
미안마,6,5등,3699.04428161835,2297.309008280714,1.6101640085356574,103
미안마,6,6등,3082.6681170886077,2297.309008280714,1.3418604575949709,445
미안마,6,7등,2560.083740404745,2297.309008280714,1.114383712063485,452
미안마,6,8등,1936.6084716657126,2297.309008280714,0.8429899785728232,370
미안마,6,등외,2846.9199009083404,2297.309008280714,1.2392411689705385,211
미안마,6,무등급,1800.963591081594,2297.309008280714,0.783944860961225,698
미안마,6,보통,725.9485691773217,2297.309008280714,0.3159995309993649,707
미안마,6,상,1925.3964442627976,2297.309008280714,0.8381094738768937,1249
미안마,6,특,4291.493104039588,2297.309008280714,1.8680521813002875,1182
미안마,7,4등,2093.8758971984257,1189.37490877836,1.7604843365571785,269
미안마,7,5등,2197.9849056603775,1189.37490877836,1.8480168779733122,42
미안마,7,6등,1448.5439746778204,1189.37490877836,1.2179035928760766,360
미안마,7,7등,1165.8160039926802,1189.37490877836,0.9801921962437582,360
미안마,7,8등,789.706457925636,1189.37490877836,0.6639676456070235,323
미안마,7,등외,2224.182879377432,1189.37490877836,1.8700435522571703,63
미안마,7,무등급,772.1700488816472,1189.37490877836,0.6492234224738813,488
미안마,7,보통,494.0226300137811,1189.37490877836,0.41536325204741836,326
미안마,7,상,986.3149064675782,1189.37490877836,0.829271661263352,788
미안마,7,특,2211.3792201483475,1189.37490877836,1.8592785200250412,576
미안마,8,4등,3132.362132352941,1451.3366666666666,2.1582601778725414,69
미안마,8,6등,2029.814371257485,1451.3366666666666,1.3985827119764207,113
미안마,8,7등,1739.7721518987341,1451.3366666666666,1.1987378200087282,108
미안마,8,8등,1011.7716535433071,1451.3366666666666,0.6971309116492432,57
미안마,8,무등급,1317.3550124275062,1451.3366666666666,0.9076839596791276,185
미안마,8,보통,397.7142124166239,1451.3366666666666,0.27403304936136386,133
미안마,8,상,1339.7240618101546,1451.3366666666666,0.9230966822378598,206
미안마,8,특,2662.3703917050693,1451.3366666666666,1.8344264655145965,135
미안마,10,등외,4547.547974413646,4275.963556046383,1.063514203245075,31
미안마,10,상,2902.6180257510728,4275.963556046383,0.6788219749082415,36
